id,feat_0,feat_1
P_roger ailes,0,0
P_gary levine,0,0
P_naomi watts,0,0
P_brian lewis,0,0
P_gabriel sherman,0,0
P_sienna miller,0,0
P_claire danes,0,0
P_gretchen carlson,0,0
P_rupert murdoch,0,0
P_cedric soares,0,0
P_mauro icardi,0,0
P_sergej milinkovic-savic,0,0
P_luciano spalletti,0,0
P_marco parolo,0,0
P_francesco acerbi,0,0
P_stefan radu,0,0
P_marcelo brozovic,0,0
P_kwadwo asamoah,0,0
P_radja nainggolan,0,0
P_felipe caicedo,0,0
P_lucas leiva,0,0
P_antonio conte,0,0
P_danilo dambrosio,0,0
P_samir handanovic,0,0
P_riza durmisi,0,0
P_lautaro martinez,0,0
P_anthony guglielmi,0,0
P_jussie smollett,0,0
P_alexandra ocasio-cortez,0,0
P_joe crowley,0,0
P_amy vilela,0,0
P_las vegas,0,0
P_mike brown,0,0
P_rachel lears,0,0
P_cori bush,0,0
P_paula jean swearengin,0,0
P_al juffali,0,0
P_carlos ghosn,0,0
P_khaled al juffali,0,0
P_daniel niemi,0,0
P_christopher robin,0,0
P_neil armstrong,0,0
P_dan deleeuw,0,0
P_josh brolin,0,0
P_beverly hilton,0,0
P_mark ruffalo,0,0
P_rob bredow,0,0
P_chris miller,0,0
P_stanley kubrick,0,0
P_paul lambert,0,0
P_gareth jones,0,0
P_alexei sidorov,0,0
P_vladimir putin,0,0
P_vladimir medinsky,0,0
P_andrew osborn,0,0
P_foo yun chee,0,0
P_edmund blair,0,0
P_andrus ansip,0,0
P_diego gonzalez,0,0
P_sergey drakunov,0,0
P_jay damico,0,0
P_robert kaminski-duke,0,0
P_hever moncayo,0,0
P_patrick currier,0,0
P_francisco pastrana,0,0
P_collin topolski,0,0
P_jonathan nadeau,0,0
P_phil metzger,0,0
P_patrick serafin,0,0
P_richard prazenica,0,0
P_james cornett,0,0
P_kaelin kersh,0,0
P_jon bowne,0,0
P_vicky goldberg,0,0
P_mark rothko,0,0
P_holland cotter,0,0
P_karen haas,0,0
P_ruby onyinyechi amanze,0,0
P_stephen a schwarzman,0,0
P_lucio fontana,0,0
P_cindy sherman,0,0
P_lee krasner,0,0
P_nan goldin,0,0
P_jason farago,0,0
P_martha schwendener,0,0
P_blake gopnik,0,0
P_julio le parc,0,0
P_roberta smith,0,0
P_jennifer schuessler,0,0
P_niranjan gupta,0,0
P_pawan munjal,0,0
P_john martin,0,0
P_robin mcfee,0,0
P_elon musk,0,0
P_deepak ahuja,0,0
P_debbie jones,0,0
P_kyle white,0,0
